Name,Alexander
12n_152,1-6*t+16*t^2-23*t^3+16*t^4-6*t^5+t^6
12n_153,2-4*t+3*t^2+t^3-3*t^4+t^5+3*t^6-4*t^7+2*t^8
12n_154,2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
12n_155,2-10*t+20*t^2-25*t^3+20*t^4-10*t^5+2*t^6
12n_156,1-5*t+8*t^2-3*t^3-t^4-3*t^5+8*t^6-5*t^7+t^8
12n_157,1-6*t+18*t^2-25*t^3+18*t^4-6*t^5+t^6
12n_158,1-8*t+22*t^2-31*t^3+22*t^4-8*t^5+t^6
12n_159,2-6*t+12*t^2-15*t^3+12*t^4-6*t^5+2*t^6
12n_160,1-6*t+12*t^2-15*t^3+12*t^4-6*t^5+t^6
12n_161,1-8*t+22*t^2-29*t^3+22*t^4-8*t^5+t^6
12n_162,1-6*t+14*t^2-19*t^3+14*t^4-6*t^5+t^6
12n_163,1-5*t+8*t^2-7*t^3+5*t^4-7*t^5+8*t^6-5*t^7+t^8
12n_164,1-8*t+20*t^2-27*t^3+20*t^4-8*t^5+t^6
12n_165,1-6*t+16*t^2-21*t^3+16*t^4-6*t^5+t^6
12n_166,2-4*t+5*t^2-6*t^3+7*t^4-6*t^5+5*t^6-4*t^7+2*t^8
12n_167,3-9*t+14*t^2-15*t^3+14*t^4-9*t^5+3*t^6
12n_168,1-5*t+8*t^2-9*t^3+8*t^4-5*t^5+t^6
12n_169,4-9*t+9*t^2-7*t^3+9*t^4-9*t^5+4*t^6
12n_170,6-20*t+29*t^2-20*t^3+6*t^4
12n_171,2-10*t+15*t^2-10*t^3+2*t^4
12n_172,1-5*t+6*t^2-t^3-3*t^4-t^5+6*t^6-5*t^7+t^8
12n_173,1-6*t+16*t^2-25*t^3+27*t^4-25*t^5+16*t^6-6*t^7+t^8
12n_174,1-6*t+18*t^2-35*t^3+45*t^4-35*t^5+18*t^6-6*t^7+t^8
12n_175,1-4*t+4*t^2+5*t^3-11*t^4+5*t^5+4*t^6-4*t^7+t^8
12n_176,4-16*t+23*t^2-16*t^3+4*t^4
12n_177,4-11*t+16*t^2-17*t^3+16*t^4-11*t^5+4*t^6
12n_178,1-9*t+24*t^2-33*t^3+24*t^4-9*t^5+t^6
12n_179,1-3*t+2*t^2-t^3+2*t^4-3*t^5+t^6
12n_180,2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
12n_181,2-9*t+19*t^2-23*t^3+19*t^4-9*t^5+2*t^6
12n_182,1-5*t+10*t^2-13*t^3+13*t^4-13*t^5+10*t^6-5*t^7+t^8
12n_183,1-10*t+26*t^2-35*t^3+26*t^4-10*t^5+t^6
12n_184,1-4*t+10*t^2-13*t^3+10*t^4-4*t^5+t^6
12n_185,1-4*t+7*t^2-10*t^3+11*t^4-10*t^5+7*t^6-4*t^7+t^8
12n_186,1-4*t+11*t^2-18*t^3+21*t^4-18*t^5+11*t^6-4*t^7+t^8
12n_187,1-5*t^2+12*t^3-15*t^4+12*t^5-5*t^6+t^8
12n_188,1-4*t+9*t^2-12*t^3+13*t^4-12*t^5+9*t^6-4*t^7+t^8
12n_189,1-4*t+9*t^2-16*t^3+19*t^4-16*t^5+9*t^6-4*t^7+t^8
12n_190,1-3*t+8*t^2-13*t^3+15*t^4-13*t^5+8*t^6-3*t^7+t^8
12n_191,1-5*t+10*t^2-15*t^3+17*t^4-15*t^5+10*t^6-5*t^7+t^8
12n_192,1-t-2*t^2+7*t^3-9*t^4+7*t^5-2*t^6-t^7+t^8
12n_193,2-6*t+13*t^2-17*t^3+13*t^4-6*t^5+2*t^6
12n_194,2-10*t+19*t^2-23*t^3+19*t^4-10*t^5+2*t^6
12n_195,2-4*t+3*t^2-t^3+3*t^4-4*t^5+2*t^6
12n_196,2-6*t+7*t^2-7*t^3+7*t^4-6*t^5+2*t^6
12n_197,2-10*t+25*t^2-33*t^3+25*t^4-10*t^5+2*t^6
12n_198,1-4*t+6*t^2-5*t^3+6*t^4-4*t^5+t^6
12n_199,1-t+2*t^2-3*t^3+2*t^4-t^5+t^6
12n_200,2-2*t+t^2-2*t^3+2*t^4
12n_201,3-13*t+23*t^2-27*t^3+23*t^4-13*t^5+3*t^6
12n_202,3-13*t+31*t^2-41*t^3+31*t^4-13*t^5+3*t^6
12n_203,3-5*t+t^2+3*t^3+t^4-5*t^5+3*t^6
12n_204,1-9*t+22*t^2-29*t^3+22*t^4-9*t^5+t^6
12n_205,1-5*t+11*t^2-14*t^3+15*t^4-14*t^5+11*t^6-5*t^7+t^8
12n_206,1-5*t+13*t^2-24*t^3+29*t^4-24*t^5+13*t^6-5*t^7+t^8
12n_207,1-3*t-t^2+12*t^3-19*t^4+12*t^5-t^6-3*t^7+t^8
12n_208,3-11*t+23*t^2-29*t^3+23*t^4-11*t^5+3*t^6
12n_209,3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
12n_210,1-t-t^2+3*t^3-t^4-t^5+t^6
12n_211,1-6*t+12*t^2-13*t^3+12*t^4-6*t^5+t^6
12n_212,3-11*t+23*t^2-29*t^3+23*t^4-11*t^5+3*t^6
12n_213,3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
12n_214,1-t-t^2+3*t^3-t^4-t^5+t^6
12n_215,2-8*t+13*t^2-15*t^3+13*t^4-8*t^5+2*t^6
12n_216,2-8*t+19*t^2-25*t^3+19*t^4-8*t^5+2*t^6
12n_217,2-2*t-3*t^2+7*t^3-3*t^4-2*t^5+2*t^6
12n_218,1-4*t+6*t^2-7*t^3+6*t^4-4*t^5+t^6
12n_219,1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
12n_220,1-3*t+8*t^3-13*t^4+8*t^5-3*t^7+t^8
12n_221,1-2*t+3*t^2-2*t^3+t^4
12n_222,2-13*t+30*t^2-39*t^3+30*t^4-13*t^5+2*t^6
12n_223,2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
12n_224,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
12n_225,3-10*t+13*t^2-10*t^3+3*t^4
12n_226,1-5*t+11*t^2-14*t^3+15*t^4-14*t^5+11*t^6-5*t^7+t^8
12n_227,1-5*t+13*t^2-24*t^3+29*t^4-24*t^5+13*t^6-5*t^7+t^8
12n_228,1-3*t-t^2+12*t^3-19*t^4+12*t^5-t^6-3*t^7+t^8
12n_229,1-5*t+8*t^2-8*t^3+7*t^4-8*t^5+8*t^6-5*t^7+t^8
12n_230,1-4*t+4*t^2-t^3+4*t^4-4*t^5+t^6
12n_231,2-8*t+11*t^2-8*t^3+2*t^4
12n_232,2-8*t+11*t^2-8*t^3+2*t^4
12n_233,1-2*t+4*t^2-5*t^3+5*t^4-5*t^5+4*t^6-2*t^7+t^8
12n_234,1-4*t+6*t^2-7*t^3+7*t^4-7*t^5+6*t^6-4*t^7+t^8
12n_235,1-2*t+2*t^2-t^3+t^4-t^5+2*t^6-2*t^7+t^8
12n_236,2-5*t+10*t^2-13*t^3+10*t^4-5*t^5+2*t^6
12n_237,2-9*t+16*t^2-19*t^3+16*t^4-9*t^5+2*t^6
12n_238,2-5*t+6*t^2-5*t^3+6*t^4-5*t^5+2*t^6
12n_239,2-5*t+9*t^2-11*t^3+9*t^4-5*t^5+2*t^6
12n_240,2-9*t+17*t^2-21*t^3+17*t^4-9*t^5+2*t^6
12n_241,2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
12n_242,1-t+t^3-t^4+t^5-t^6+t^7-t^9+t^10
12n_243,2-3*t+t^2+2*t^3-3*t^4+2*t^5+t^6-3*t^7+2*t^8
12n_244,2-4*t+4*t^2-2*t^3+t^4-2*t^5+4*t^6-4*t^7+2*t^8
12n_245,4-8*t+6*t^2-3*t^3+6*t^4-8*t^5+4*t^6
12n_246,5-17*t+25*t^2-17*t^3+5*t^4
12n_247,3-13*t+19*t^2-13*t^3+3*t^4
12n_248,3-6*t+7*t^2-6*t^3+3*t^4
12n_249,3-12*t+17*t^2-12*t^3+3*t^4
12n_250,3-10*t+15*t^2-10*t^3+3*t^4
12n_251,3-5*t+2*t^2+t^3+2*t^4-5*t^5+3*t^6
12n_252,2-10*t+20*t^2-25*t^3+20*t^4-10*t^5+2*t^6
12n_253,2-6*t+12*t^2-15*t^3+12*t^4-6*t^5+2*t^6
12n_254,2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
12n_255,2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
12n_256,2-6*t+9*t^2-6*t^3+2*t^4
12n_257,2-6*t+9*t^2-6*t^3+2*t^4
12n_258,1-4*t+5*t^2-4*t^3+t^4
12n_259,4-12*t+20*t^2-23*t^3+20*t^4-12*t^5+4*t^6
12n_260,3-5*t+5*t^2-5*t^3+3*t^4
12n_261,1-5*t+10*t^2-12*t^3+13*t^4-12*t^5+10*t^6-5*t^7+t^8
12n_262,2-10*t+20*t^2-25*t^3+20*t^4-10*t^5+2*t^6
12n_263,2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
12n_264,2-6*t+9*t^2-6*t^3+2*t^4
12n_265,2-8*t+14*t^2-15*t^3+14*t^4-8*t^5+2*t^6
12n_266,2-10*t+24*t^2-33*t^3+24*t^4-10*t^5+2*t^6
12n_267,4-16*t+23*t^2-16*t^3+4*t^4
12n_268,2-5*t+2*t^2
12n_269,1-9*t+28*t^2-41*t^3+28*t^4-9*t^5+t^6
12n_270,3-16*t+25*t^2-16*t^3+3*t^4
12n_271,1-5*t+12*t^2-17*t^3+12*t^4-5*t^5+t^6
12n_272,1-7*t+20*t^2-27*t^3+20*t^4-7*t^5+t^6
12n_273,1-3*t+3*t^3-3*t^5+t^6
12n_274,3-14*t+21*t^2-14*t^3+3*t^4
12n_275,2-9*t+15*t^2-9*t^3+2*t^4
12n_276,1+t-7*t^2+11*t^3-7*t^4+t^5+t^6
12n_277,2-8*t+15*t^2-17*t^3+15*t^4-8*t^5+2*t^6
12n_278,4-16*t+25*t^2-16*t^3+4*t^4
12n_279,1-6*t+11*t^2-6*t^3+t^4
12n_280,1-6*t+12*t^2-13*t^3+12*t^4-6*t^5+t^6
12n_281,1-6*t+18*t^2-27*t^3+18*t^4-6*t^5+t^6
12n_282,1-5*t+9*t^2-5*t^3+t^4
12n_283,1-6*t+14*t^2-16*t^3+13*t^4-16*t^5+14*t^6-6*t^7+t^8
12n_284,1-5*t+13*t^2-19*t^3+13*t^4-5*t^5+t^6
12n_285,1-5*t+9*t^2-9*t^3+9*t^4-5*t^5+t^6
12n_286,2-11*t+19*t^2-11*t^3+2*t^4
12n_287,1-6*t+15*t^2-22*t^3+23*t^4-22*t^5+15*t^6-6*t^7+t^8
12n_288,4-12*t+17*t^2-12*t^3+4*t^4
12n_289,4-12*t+19*t^2-21*t^3+19*t^4-12*t^5+4*t^6
12n_290,1-7*t+16*t^2-21*t^3+16*t^4-7*t^5+t^6
12n_291,3-11*t+22*t^2-27*t^3+22*t^4-11*t^5+3*t^6
12n_292,2-4*t+2*t^2+4*t^3-7*t^4+4*t^5+2*t^6-4*t^7+2*t^8
12n_293,2-3*t+2*t^2
12n_294,1-5*t+8*t^2-6*t^3+5*t^4-6*t^5+8*t^6-5*t^7+t^8
12n_295,1-9*t+26*t^2-35*t^3+26*t^4-9*t^5+t^6
12n_296,1-5*t+8*t^2-4*t^3+t^4-4*t^5+8*t^6-5*t^7+t^8
12n_297,2-11*t+22*t^2-25*t^3+22*t^4-11*t^5+2*t^6
12n_298,1-7*t+21*t^2-31*t^3+21*t^4-7*t^5+t^6
12n_299,3-12*t+18*t^2-19*t^3+18*t^4-12*t^5+3*t^6
12n_300,1-7*t+18*t^2-25*t^3+18*t^4-7*t^5+t^6
12n_301,1-5*t+10*t^2-12*t^3+11*t^4-12*t^5+10*t^6-5*t^7+t^8
12n_302,1-9*t+27*t^2-37*t^3+27*t^4-9*t^5+t^6
12n_303,1-5*t+9*t^2-11*t^3+9*t^4-5*t^5+t^6
12n_304,3-9*t+15*t^2-17*t^3+15*t^4-9*t^5+3*t^6
12n_305,2-4*t+4*t^2-3*t^3+3*t^4-3*t^5+4*t^6-4*t^7+2*t^8
12n_306,2-9*t+13*t^2-9*t^3+2*t^4
12n_307,6-19*t+27*t^2-19*t^3+6*t^4
12n_308,4-10*t+12*t^2-11*t^3+12*t^4-10*t^5+4*t^6
12n_309,1-t-t^2+3*t^3-t^4-t^5+t^6
12n_310,2-5*t+7*t^2-5*t^3+2*t^4
12n_311,3-13*t+19*t^2-13*t^3+3*t^4
12n_312,1-5*t+11*t^2-15*t^3+11*t^4-5*t^5+t^6
12n_313,1
12n_314,1-6*t+13*t^2-15*t^3+13*t^4-6*t^5+t^6
12n_315,1-6*t+14*t^2-19*t^3+14*t^4-6*t^5+t^6
12n_316,1-7*t+15*t^2-19*t^3+15*t^4-7*t^5+t^6
12n_317,2-9*t+19*t^2-25*t^3+19*t^4-9*t^5+2*t^6
12n_318,1-t-t^2+3*t^3-t^4-t^5+t^6
12n_319,2-6*t+8*t^2-9*t^3+8*t^4-6*t^5+2*t^6
12n_320,2-11*t+25*t^2-33*t^3+25*t^4-11*t^5+2*t^6
12n_321,3-5*t+3*t^2
12n_322,2-6*t+7*t^2-6*t^3+2*t^4
12n_323,4-13*t+19*t^2-13*t^3+4*t^4
12n_324,5-17*t+23*t^2-17*t^3+5*t^4
12n_325,2-11*t+26*t^2-35*t^3+26*t^4-11*t^5+2*t^6
12n_326,1-4*t+8*t^2-9*t^3+9*t^4-9*t^5+8*t^6-4*t^7+t^8
12n_327,1-4*t+9*t^2-11*t^3+11*t^4-11*t^5+9*t^6-4*t^7+t^8
12n_328,1-3*t^2+5*t^3-5*t^4+5*t^5-3*t^6+t^8
12n_329,1+t-6*t^2+9*t^3-6*t^4+t^5+t^6
12n_330,2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
12n_331,2-7*t+9*t^2-9*t^3+9*t^4-7*t^5+2*t^6
12n_332,2-2*t+t^2-2*t^3+2*t^4
12n_333,3-11*t+17*t^2-11*t^3+3*t^4
12n_334,4-16*t+23*t^2-16*t^3+4*t^4
12n_335,2-10*t+22*t^2-27*t^3+22*t^4-10*t^5+2*t^6
12n_336,1-2*t+t^3-2*t^5+t^6
12n_337,1-9*t+25*t^2-33*t^3+25*t^4-9*t^5+t^6
12n_338,2-4*t+4*t^2-2*t^3+t^4-2*t^5+4*t^6-4*t^7+2*t^8
12n_339,3-11*t+21*t^2-25*t^3+21*t^4-11*t^5+3*t^6
12n_340,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6
12n_341,4-10*t+13*t^2-13*t^3+13*t^4-10*t^5+4*t^6
12n_342,4-13*t+19*t^2-13*t^3+4*t^4
12n_343,4-15*t+21*t^2-15*t^3+4*t^4
12n_344,1-4*t+10*t^2-15*t^3+17*t^4-15*t^5+10*t^6-4*t^7+t^8
12n_345,1-4*t+8*t^2-13*t^3+15*t^4-13*t^5+8*t^6-4*t^7+t^8
12n_346,1-2*t+2*t^2-t^3+t^4-t^5+2*t^6-2*t^7+t^8
12n_347,1-3*t+7*t^2-9*t^3+7*t^4-3*t^5+t^6
12n_348,1-7*t+19*t^2-25*t^3+19*t^4-7*t^5+t^6
12n_349,1-4*t+2*t^2+t^3+2*t^4-4*t^5+t^6
12n_350,1-8*t+25*t^2-35*t^3+25*t^4-8*t^5+t^6
12n_351,1-5*t+7*t^2-5*t^3+7*t^4-5*t^5+t^6
12n_352,1-3*t+t^2+3*t^3+t^4-3*t^5+t^6
12n_353,1-9*t+25*t^2-33*t^3+25*t^4-9*t^5+t^6
12n_354,1-4*t+5*t^2-3*t^3+5*t^4-4*t^5+t^6
12n_355,1-3*t+2*t^2+t^3+2*t^4-3*t^5+t^6
12n_356,1-5*t+14*t^2-21*t^3+14*t^4-5*t^5+t^6
12n_357,1-9*t+24*t^2-31*t^3+24*t^4-9*t^5+t^6
12n_358,3-11*t+15*t^2-11*t^3+3*t^4
12n_359,3-17*t+29*t^2-17*t^3+3*t^4
12n_360,3-12*t+19*t^2-12*t^3+3*t^4
12n_361,3-11*t+15*t^2-15*t^3+15*t^4-11*t^5+3*t^6
12n_362,1-4*t+7*t^2-7*t^3+7*t^4-4*t^5+t^6
12n_363,1-8*t+21*t^2-27*t^3+21*t^4-8*t^5+t^6
12n_364,2-11*t+23*t^2-27*t^3+23*t^4-11*t^5+2*t^6
12n_365,2-11*t+23*t^2-27*t^3+23*t^4-11*t^5+2*t^6
12n_366,1+2*t-8*t^2+11*t^3-8*t^4+2*t^5+t^6
12n_367,1-10*t+30*t^2-43*t^3+30*t^4-10*t^5+t^6
12n_368,1-4*t+5*t^2-3*t^3+t^4-3*t^5+5*t^6-4*t^7+t^8
12n_369,1-4*t+9*t^2-15*t^3+17*t^4-15*t^5+9*t^6-4*t^7+t^8
12n_370,1-2*t+t^3-2*t^5+t^6
12n_371,1-2*t+2*t^2-t^3+2*t^4-2*t^5+t^6
12n_372,1-4*t+10*t^2-13*t^3+10*t^4-4*t^5+t^6
12n_373,1-8*t+18*t^2-23*t^3+18*t^4-8*t^5+t^6
12n_374,2-3*t+6*t^3-9*t^4+6*t^5-3*t^7+2*t^8
12n_375,1-6*t+13*t^2-17*t^3+13*t^4-6*t^5+t^6
12n_376,1-4*t+10*t^2-19*t^3+23*t^4-19*t^5+10*t^6-4*t^7+t^8
12n_377,1-4*t+9*t^2-11*t^3+9*t^4-4*t^5+t^6
12n_378,3-12*t+24*t^2-29*t^3+24*t^4-12*t^5+3*t^6
12n_379,2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
12n_380,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
12n_381,3-15*t+23*t^2-15*t^3+3*t^4
12n_382,1-5*t+7*t^2-5*t^3+t^4
12n_383,3-13*t+19*t^2-13*t^3+3*t^4
12n_384,3-13*t+25*t^2-31*t^3+25*t^4-13*t^5+3*t^6
12n_385,1-7*t+17*t^2-23*t^3+17*t^4-7*t^5+t^6
12n_386,2-4*t+3*t^2+2*t^3-5*t^4+2*t^5+3*t^6-4*t^7+2*t^8
12n_387,1-5*t+6*t^2-2*t^3-t^4-2*t^5+6*t^6-5*t^7+t^8
12n_388,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
12n_389,1-9*t+24*t^2-31*t^3+24*t^4-9*t^5+t^6
12n_390,1-6*t+14*t^2-17*t^3+14*t^4-6*t^5+t^6
12n_391,3-12*t+26*t^2-33*t^3+26*t^4-12*t^5+3*t^6
12n_392,1-8*t+24*t^2-33*t^3+24*t^4-8*t^5+t^6
12n_393,3-12*t+19*t^2-12*t^3+3*t^4
12n_394,1-6*t+11*t^2-6*t^3+t^4
12n_395,1-8*t+18*t^2-23*t^3+18*t^4-8*t^5+t^6
12n_396,1-7*t+16*t^2-19*t^3+16*t^4-7*t^5+t^6
12n_397,1-5*t+11*t^2-15*t^3+11*t^4-5*t^5+t^6
12n_398,1-4*t+4*t^2-3*t^3+4*t^4-4*t^5+t^6
12n_399,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
12n_400,1-8*t+23*t^2-31*t^3+23*t^4-8*t^5+t^6
12n_401,1-7*t+21*t^2-29*t^3+21*t^4-7*t^5+t^6
12n_402,1+t-3*t^2+3*t^3-3*t^4+t^5+t^6
12n_403,1-3*t+t^2+t^3+t^4-3*t^5+t^6
12n_404,2+t-5*t^2+t^3+2*t^4
12n_405,1-6*t+13*t^2-12*t^3+9*t^4-12*t^5+13*t^6-6*t^7+t^8
12n_406,5-13*t+16*t^2-15*t^3+16*t^4-13*t^5+5*t^6
12n_407,1-5*t+8*t^2-9*t^3+8*t^4-5*t^5+t^6
12n_408,1-9*t+24*t^2-33*t^3+24*t^4-9*t^5+t^6
12n_409,1-3*t+9*t^2-13*t^3+9*t^4-3*t^5+t^6
12n_410,2-10*t+26*t^2-35*t^3+26*t^4-10*t^5+2*t^6
12n_411,5-9*t+5*t^2
12n_412,2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
12n_413,2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
12n_414,2-6*t+9*t^2-6*t^3+2*t^4
12n_415,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
12n_416,1-4*t+10*t^2-15*t^3+17*t^4-15*t^5+10*t^6-4*t^7+t^8
12n_417,1-4*t^2+9*t^3-11*t^4+9*t^5-4*t^6+t^8
12n_418,1-4*t+4*t^2-t^3-t^4-t^5+4*t^6-4*t^7+t^8
12n_419,1-4*t+3*t^2+3*t^3-7*t^4+3*t^5+3*t^6-4*t^7+t^8
12n_420,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
12n_421,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
12n_422,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
12n_423,1-3*t+3*t^2-t^3+3*t^4-3*t^5+t^6
12n_424,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
12n_425,1-4*t+7*t^2-4*t^3+t^4-4*t^5+7*t^6-4*t^7+t^8
12n_426,1-3*t^2+4*t^3-3*t^4+4*t^5-3*t^6+t^8
12n_427,1-5*t+14*t^2-23*t^3+27*t^4-23*t^5+14*t^6-5*t^7+t^8
12n_428,1-4*t+5*t^2-4*t^3+3*t^4-4*t^5+5*t^6-4*t^7+t^8
12n_429,4-18*t+27*t^2-18*t^3+4*t^4
12n_430,1
12n_431,1-8*t+24*t^2-35*t^3+24*t^4-8*t^5+t^6
12n_432,3-4*t+3*t^2-4*t^3+3*t^4
12n_433,1-2*t-4*t^2+9*t^3-4*t^4-2*t^5+t^6
12n_434,1-6*t+15*t^2-21*t^3+15*t^4-6*t^5+t^6
12n_435,1-6*t+13*t^2-17*t^3+13*t^4-6*t^5+t^6
12n_436,1-5*t+6*t^2-5*t^3+6*t^4-5*t^5+t^6
12n_437,1+t-8*t^2+13*t^3-8*t^4+t^5+t^6
12n_438,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
12n_439,1-t+t^3-t^5+t^6
12n_440,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
12n_441,1-9*t+22*t^2-29*t^3+22*t^4-9*t^5+t^6
12n_442,3-10*t+13*t^2-10*t^3+3*t^4
12n_443,3-8*t+11*t^2-8*t^3+3*t^4
12n_444,2-7*t+9*t^2-7*t^3+2*t^4
12n_445,2-13*t+30*t^2-39*t^3+30*t^4-13*t^5+2*t^6
12n_446,1-2*t-3*t^2+7*t^3-3*t^4-2*t^5+t^6
12n_447,2-8*t+16*t^2-21*t^3+16*t^4-8*t^5+2*t^6
12n_448,1-6*t+14*t^2-21*t^3+25*t^4-21*t^5+14*t^6-6*t^7+t^8
12n_449,1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6
12n_450,1-8*t+23*t^2-31*t^3+23*t^4-8*t^5+t^6
12n_451,1-3*t+8*t^2-11*t^3+8*t^4-3*t^5+t^6
12n_452,4-14*t+19*t^2-14*t^3+4*t^4
12n_453,5-15*t+24*t^2-27*t^3+24*t^4-15*t^5+5*t^6
12n_454,1-4*t+11*t^2-15*t^3+11*t^4-4*t^5+t^6
12n_455,3-12*t+21*t^2-25*t^3+21*t^4-12*t^5+3*t^6
12n_456,1-5*t^2+9*t^3-5*t^4+t^6
12n_457,3-5*t+3*t^2
12n_458,1-6*t+16*t^2-26*t^3+31*t^4-26*t^5+16*t^6-6*t^7+t^8
12n_459,1-6*t+15*t^2-20*t^3+21*t^4-20*t^5+15*t^6-6*t^7+t^8
12n_460,1-6*t+15*t^2-19*t^3+15*t^4-6*t^5+t^6
12n_461,1-7*t+20*t^2-29*t^3+20*t^4-7*t^5+t^6
12n_462,1-6*t+11*t^2-6*t^3+t^4
12n_463,1-7*t+18*t^2-25*t^3+18*t^4-7*t^5+t^6
12n_464,1-4*t+5*t^2-4*t^3+t^4
12n_465,1-6*t+13*t^2-15*t^3+13*t^4-15*t^5+13*t^6-6*t^7+t^8
12n_466,1-3*t+7*t^2-10*t^3+11*t^4-10*t^5+7*t^6-3*t^7+t^8
12n_467,1-3*t+5*t^2-8*t^3+9*t^4-8*t^5+5*t^6-3*t^7+t^8
12n_468,1-3*t+5*t^2-6*t^3+7*t^4-6*t^5+5*t^6-3*t^7+t^8
12n_469,2-6*t+12*t^2-15*t^3+12*t^4-6*t^5+2*t^6
12n_470,2-6*t+8*t^2-9*t^3+8*t^4-6*t^5+2*t^6
12n_471,2-8*t+16*t^2-19*t^3+16*t^4-8*t^5+2*t^6
12n_472,1-t+2*t^3-4*t^4+5*t^5-4*t^6+2*t^7-t^9+t^10
12n_473,2-3*t+t^2+3*t^3-5*t^4+3*t^5+t^6-3*t^7+2*t^8
12n_474,2-3*t+2*t^2-t^3+t^4-t^5+2*t^6-3*t^7+2*t^8
12n_475,1-2*t+t^2+t^3+t^4-2*t^5+t^6
12n_476,3-10*t+15*t^2-17*t^3+15*t^4-10*t^5+3*t^6
12n_477,4-8*t+7*t^2-5*t^3+7*t^4-8*t^5+4*t^6
12n_478,2-7*t+11*t^2-7*t^3+2*t^4
12n_479,6-21*t+29*t^2-21*t^3+6*t^4
12n_480,1-6*t+19*t^2-29*t^3+19*t^4-6*t^5+t^6
12n_481,1-5*t+15*t^2-23*t^3+15*t^4-5*t^5+t^6
12n_482,1-6*t+15*t^2-21*t^3+15*t^4-6*t^5+t^6
12n_483,1-4*t+5*t^2-4*t^3+t^4
12n_484,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
12n_485,2-8*t+16*t^2-19*t^3+16*t^4-8*t^5+2*t^6
12n_486,2-7*t+12*t^2-13*t^3+12*t^4-7*t^5+2*t^6
12n_487,1-t-4*t^2+7*t^3-4*t^4-t^5+t^6
12n_488,1-t-2*t^2+5*t^3-2*t^4-t^5+t^6
12n_489,2-11*t+28*t^2-37*t^3+28*t^4-11*t^5+2*t^6
12n_490,5-19*t+29*t^2-19*t^3+5*t^4
12n_491,1-7*t+16*t^2-21*t^3+16*t^4-7*t^5+t^6
12n_492,2-9*t+20*t^2-27*t^3+20*t^4-9*t^5+2*t^6
12n_493,2-9*t+21*t^2-29*t^3+21*t^4-9*t^5+2*t^6
12n_494,1-5*t+8*t^2-6*t^3+5*t^4-6*t^5+8*t^6-5*t^7+t^8
12n_495,1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6
12n_496,1-11*t+28*t^2-37*t^3+28*t^4-11*t^5+t^6
12n_497,1-9*t+25*t^2-35*t^3+25*t^4-9*t^5+t^6
12n_498,5-20*t+29*t^2-20*t^3+5*t^4
12n_499,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
12n_500,2-6*t+11*t^2-13*t^3+11*t^4-6*t^5+2*t^6
12n_501,4-12*t+17*t^2-12*t^3+4*t^4
12n_502,2-3*t+t^2+t^3-t^4+t^5+t^6-3*t^7+2*t^8
12n_503,4-8*t+5*t^2-t^3+5*t^4-8*t^5+4*t^6
12n_504,1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
12n_505,1-8*t+24*t^2-33*t^3+24*t^4-8*t^5+t^6
12n_506,1-6*t+14*t^2-17*t^3+14*t^4-6*t^5+t^6
12n_507,1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
12n_508,1-4*t+10*t^2-16*t^3+19*t^4-16*t^5+10*t^6-4*t^7+t^8
12n_509,1-5*t+8*t^2-7*t^3+7*t^4-7*t^5+8*t^6-5*t^7+t^8
12n_510,1-11*t+29*t^2-39*t^3+29*t^4-11*t^5+t^6
